route_short_name,route_long_name,n,bp_Easy,bp_Hard,bp_Medium,bp_NA,cf_Easy,cf_Hard,cf_Medium,cf_NA,rg_Easy,rg_Hard,rg_Medium,rg_NA
385,The Gap - City Express,21,13,0,2,6,7,3,6,5,9,5,2,5
390,Mitchelton - City,46,26,2,6,12,32,5,6,3,32,5,6,3
393,Teneriffe Ferry - RBWH Loop,16,12,0,0,4,10,2,3,1,13,1,1,1
396,Mitchelton - Arana Hills,5,0,1,1,3,0,1,1,3,2,0,0,3
397,Ferny Grove - Mitchelton,12,3,1,2,6,2,1,3,6,3,1,2,6
398,Mitchelton - Ferny Grove,24,12,0,5,7,10,5,6,3,13,2,6,3
40,City Loop (Clockwise),7,5,0,1,1,4,0,2,1,4,1,1,1
402,Toowong - University of Qld,10,4,0,3,3,5,1,2,2,5,2,1,2
411,University of Qld - City via Hawken Drive,40,18,2,5,15,24,2,7,7,21,7,5,7
412,University of Qld - City Express,12,3,1,2,6,7,0,2,3,7,1,1,3
414,Indooroopilly - University of Qld via Taringa,42,21,2,6,13,26,5,9,2,23,10,7,2
415,Indooroopilly - City via Taringa,48,18,2,10,18,25,5,11,7,28,4,9,7
416,Duke Street - City,30,3,2,10,15,17,3,5,5,20,3,2,5
417,Long Pocket - City,56,22,6,8,20,34,7,7,8,29,12,7,8
425,Chapel Hill - City Express,40,20,3,3,14,18,3,10,9,20,10,1,9
427,Chapel Hill - University of Qld Express,31,19,3,2,7,17,2,8,4,14,7,6,4
428,Chapel Hill - University of Qld,56,30,6,6,14,35,7,10,4,25,15,12,4
430,Fig Tree Pocket - City Express,35,15,1,6,13,17,3,8,7,18,1,9,7
431,Kenmore South - City Rocket,25,13,1,7,4,16,2,7,0,12,9,4,0
432,Kenmore - University of Qld Express,41,19,3,9,10,26,5,8,2,20,10,9,2
433,Kenmore South - City,64,26,4,16,18,37,5,15,7,32,15,10,7
435,Brookfield - City Express,47,20,4,7,16,30,5,7,5,26,8,8,5
444,Moggill - City Express,43,17,2,8,16,25,3,7,8,21,4,10,8
445,Fig Tree Pocket - City,65,33,1,10,21,32,3,19,11,35,8,11,11
446,Kenmore - City Rocket,19,10,0,6,3,11,1,7,0,12,0,7,0
450,Riverhills - City Express via Mt Ommaney,47,29,3,5,10,18,8,14,7,18,10,12,7
451,Sinnamon Park - Darra Station,14,9,0,1,4,9,1,2,2,7,2,3,2
452,Riverhills West - Darra Station,25,12,0,5,8,10,6,6,3,11,4,7,3
453,Mt Ommaney - City Express,33,17,3,3,10,15,4,7,7,13,6,7,7
454,Riverhills - City Express,30,17,1,2,10,10,5,8,7,13,4,6,7
